PUSH,22-04-2025,,,,,,,
Exercise,Reps,Weight,Reps,Weight,Reps,Weight,Reps,Weight
Chest Press,8,25,8,25,8,25,8,25
Incline Dumbbell Press,8,22.5,8,22.5,8,22.5,8,22.5
Machine Shoulder Press,8,15,8,15,8,17.5,8,17.5
Dumbbell Lateral Raise,8,9,8,9,8,9,8,10
Machine Flies,8,30,8,30,8,30,8,30
Overhead Rope Triceps Extension,8,30,8,30,8,30,,
Bar Triceps Pushdown,8,40,8,45,8,45,,
